ID,exact_weather_condition_by_accident,exact_accident_location_per_claim ,number_of_findings_with_potential_fraudster ,exact_description_of_accidents_by_photo,contact_with_potential_fraudster_mechanic
MYNB48764759382421,1,1,5,Y,Y
ZIRW92411578156593,1,1,5,Y,N
POQI08016097535139,0,1,2,N,Y
HZEZ87115871484185,1,0,5,Y,Y
GZTR94719659342320,1,0,5,N,N
VIPC12201868483396,0,0,5,Y,N
IOPV51591795330413,1,1,3,Y,N
ZFKN01230989101399,1,1,1,Y,N
MCLD09032173008691,1,1,3,Y,N
CHCU45620870916345,1,1,4,N,N
SFWV30225841972076,1,1,5,Y,Y
QJUL64280715084237,1,1,3,Y,Y
TJVL99246610935233,1,1,4,Y,Y
MWVS60696027142787,0,1,5,Y,Y
TYAB75470638120665,1,1,1,Y,Y
GAWY08913193442176,1,1,1,Y,Y
AIOZ14285124000348,1,1,3,N,Y
LSBX97765823694022,1,1,3,N,Y
KKZL15900422945682,0,1,3,N,Y
DPXH04281465461187,1,1,4,Y,Y
KZZK17176045229611,1,1,1,Y,N
GXHB60168847793615,1,1,2,Y,Y
ISYF63511087317643,1,0,1,Y,N
ZGTE13765821972966,1,1,5,Y,Y
PVKP73893055508249,1,1,2,N,Y
MSJW71180132040752,1,1,2,N,N
UOLQ68809189163489,1,1,4,Y,Y
PZMT93002489451744,1,0,4,Y,N
MZMB22345007627912,1,1,3,N,Y
NBTO67017200992518,1,1,3,N,N
GMZY71097951942641,1,1,5,N,N
ZGBZ67537510074089,1,1,5,Y,Y
GHCY88684126961161,1,1,1,Y,Y
NYEX07660754151150,1,1,3,Y,Y
LFAH51923031045093,1,1,2,Y,Y
FODP54203557448529,1,1,1,Y,N
DRSJ26223583324560,1,1,2,Y,N
TAMC12648629645137,1,0,3,Y,N
UQBM60657354712141,1,1,5,Y,N
TWEZ76266237582571,1,1,4,Y,Y
YGJA79703414892671,1,1,4,N,N
YHRY64014004689671,0,0,3,Y,Y
LJYV39101448518321,1,1,4,Y,Y
JJQE98381686447592,1,1,2,N,Y
DWDM69728457637785,1,0,4,N,Y
UBOJ27093057608116,1,1,1,Y,Y
LBDT04432943167562,0,1,3,Y,Y
NUVN27285232756676,1,1,2,Y,Y
ZGOG90603125023949,1,0,1,N,Y
WQYJ56708869774735,1,1,3,Y,Y
BBBF50402163968373,1,1,3,Y,Y
TDTC55875408035138,1,1,3,Y,Y
GGIV44864753048107,1,0,4,N,Y
XOBZ67771113126379,1,1,1,Y,N
NRYM02373245561849,1,1,5,Y,N
