               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085349,              0.0366,            0.045657,             0.42599,             0.35518,             0.28523,             0.17134,             0.06659,            0.021702,            0.034816,            0.070086,           0.0033238,           0.0033238
                   1,               0.061,            0.034801,            0.028572,             0.72689,             0.49181,             0.51633,             0.30191,            0.057316,            0.019595,            0.021264,            0.039954,           0.0065253,           0.0065253
                   2,            0.056455,            0.033446,            0.020477,             0.47137,             0.49639,             0.47515,             0.32029,            0.057562,            0.021634,            0.022265,           0.0096901,           0.0095949,           0.0095949
                   3,            0.053871,            0.034121,            0.018329,             0.61961,             0.55047,             0.54734,             0.35357,            0.054928,            0.020231,             0.01778,            0.009406,            0.009406,            0.009406
                   4,            0.051265,            0.034235,            0.016902,             0.54889,             0.54642,             0.54111,             0.37154,            0.054031,            0.020659,            0.018893,            0.009406,            0.009406,            0.009406
                   5,             0.04941,            0.033078,            0.015171,             0.56506,             0.58653,             0.56323,             0.38286,            0.052165,            0.019686,             0.01563,            0.009208,            0.009208,            0.009208
                   6,            0.048143,            0.032671,            0.014027,             0.64595,              0.5625,             0.59547,             0.40396,            0.051082,            0.019839,            0.014337,             0.00901,             0.00901,             0.00901
                   7,            0.046793,            0.032051,            0.013377,             0.60351,             0.58695,             0.59631,              0.4063,            0.050259,             0.01969,            0.014261,            0.008812,            0.008812,            0.008812
                   8,            0.045404,            0.031489,            0.012576,             0.61385,             0.58231,             0.59957,             0.41151,            0.050676,            0.019667,            0.014432,            0.008614,            0.008614,            0.008614
                   9,            0.044906,            0.031325,             0.01157,             0.66314,             0.59124,             0.62079,             0.43025,            0.049616,            0.019679,            0.014415,            0.008416,            0.008416,            0.008416
                  10,            0.044143,            0.030793,            0.011079,             0.61012,             0.59326,             0.61545,             0.42426,            0.048984,            0.019506,            0.014301,            0.008218,            0.008218,            0.008218
                  11,            0.043627,            0.030529,            0.010771,             0.68926,             0.54682,             0.60216,             0.42781,            0.049575,            0.020085,            0.014289,             0.00802,             0.00802,             0.00802
                  12,            0.042427,            0.030168,           0.0099968,             0.65753,             0.59478,             0.61955,             0.44643,              0.0492,            0.019521,            0.014253,            0.007822,            0.007822,            0.007822
                  13,            0.042184,            0.030051,           0.0097612,             0.66147,             0.60924,              0.6377,             0.45537,            0.047989,            0.019022,             0.01409,            0.007624,            0.007624,            0.007624
                  14,            0.041419,            0.029606,           0.0090631,             0.68454,             0.62614,             0.65191,             0.46895,            0.047359,            0.018949,             0.01379,            0.007426,            0.007426,            0.007426
                  15,            0.041144,             0.02933,           0.0089718,             0.67025,             0.62525,             0.64806,             0.46841,            0.047687,            0.019304,            0.012783,            0.007228,            0.007228,            0.007228
                  16,            0.040321,            0.028565,           0.0084922,             0.65996,             0.63067,              0.6495,             0.46632,            0.047506,            0.019018,            0.013496,             0.00703,             0.00703,             0.00703
                  17,            0.039907,            0.028485,           0.0082777,             0.71125,             0.59708,             0.65152,             0.46533,            0.046798,            0.019082,            0.013243,            0.006832,            0.006832,            0.006832
                  18,             0.03899,            0.028226,           0.0077314,             0.72453,               0.599,             0.64282,             0.46542,            0.047259,            0.019373,            0.014057,            0.006634,            0.006634,            0.006634
                  19,             0.03889,            0.028019,           0.0078479,             0.68242,             0.64846,             0.65695,             0.47473,              0.0468,            0.019166,            0.012467,            0.006436,            0.006436,            0.006436
                  20,             0.03814,            0.027418,            0.007395,             0.68516,             0.62858,             0.65774,             0.47821,            0.047032,            0.019288,            0.013739,            0.006238,            0.006238,            0.006238
                  21,            0.037767,            0.026933,           0.0070887,              0.6828,             0.63003,             0.65851,             0.48518,            0.046239,            0.019198,            0.013346,             0.00604,             0.00604,             0.00604
                  22,            0.037167,            0.026832,           0.0069147,             0.70856,             0.62907,             0.65654,              0.4808,            0.046219,            0.019303,             0.01235,            0.005842,            0.005842,            0.005842
                  23,            0.036868,             0.02672,           0.0068219,             0.70644,             0.63109,             0.66672,             0.48676,            0.046206,            0.018986,             0.01335,            0.005644,            0.005644,            0.005644
                  24,            0.036457,            0.026285,           0.0062672,             0.69535,             0.64966,             0.66975,             0.49913,            0.046421,            0.019216,            0.013171,            0.005446,            0.005446,            0.005446
                  25,             0.03586,            0.026047,           0.0063461,             0.72716,             0.63047,             0.66872,             0.50066,            0.045804,            0.019104,            0.013285,            0.005248,            0.005248,            0.005248
